text_hindi,sentiment
"मैंने जवाब दिया है, अगर मैं जा रहा था",neutral
Sooo उदास मैं आपको यहाँ सैन डिएगो में याद करूंगा !!!,negative
मेरा बॉस मुझे बदमाशी कर रहा है ...,negative
क्या साक्षात्कार!मुझे अकेला छोड़ दो,negative
"**** के बेटों, क्यों नहीं कर सकते थे वे उन्हें उन रिलीज पर डाल सकते हैं जो हमने पहले से खरीदे थे",negative
http://www.dothebouncy.com/smf - पृथ्वी पर सर्वश्रेष्ठ रेंजर्स फोरम के लिए कुछ बेशर्म प्लगिंग,neutral
बच्चे के लिए 2am फीडिंग मज़ेदार हैं जब वह सभी मुस्कुराता है और coos होता है,positive
इतना उँचा,neutral
आप दोनों,neutral
यात्रा!?वाह ... यू बस कूलर बन गया।हे ... (यह संभव है!?),positive
"जितना मुझे उम्मीद है कि मैं उम्मीद करना पसंद करता हूं, मुझे लगता है कि संभावना न्यूनतम है = p i`m कभी भी अपना केक और सामान नहीं पाने वाला है",neutral
मैं वास्तव में टेलर स्विफ्ट द्वारा सॉन्ग लव स्टोरी पसंद करता हूं,positive
मेरी शार्पी स्याही पर खतरनाक रूप से कम चल रही है,negative
मैं आज रात संगीत पर जाना चाहता हूं लेकिन मैंने अपनी आवाज खो दी।,negative
एलजी एनवी 2 से परीक्षण परीक्षण,neutral
"उह ओह, मैं सनबर्न हूं",negative
"S`ok, विकल्प की साजिश करने की कोशिश कर रहा है जैसा कि हम *आह *बोलते हैं",negative
"मैं पिछले कुछ दिनों से बीमार था और इस प्रकार, मेरे बाल अजीब लगते हैं।अगर मेरे पास कोई टोपी नहीं होती तो उस पर दिखते ... http://tinyurl.com/mnf4kw",negative
घर वापस आ गया है अब हर एक को याद करने वाला है,negative
वह आपने इतना दिलचस्प नहीं है,neutral
"ओह मार्ली, मैं `सो सॉरी !!मुझे आशा है कि आप उसे जल्द ही पाएंगे !!<3 <3",neutral
ऑनलाइन भूत खेलना वास्तव में दिलचस्प है।नए अपडेट तीसरी नौकरी के लिए किरिन पेट और मेटामॉर्फ हैं।एक ड्रैगन पालतू जानवर के लिए इंतजार कर सकते हैं,positive
अपने परिवार के लिए घर की सफाई कर रहा है जो आज बाद में आ रहा है।,neutral
मेरे कंप्यूटर को पुनरारंभ करना होगा .. मुझे लगा कि Win7 को लगातार रिबूटनेस का अंत करना चाहिए था,neutral
देखें वॉट आई मीन बाउट फोल 0 डब्ल्यू फ्राइडे ... इट्स कहा जाता है,neutral
"मेरे iPod पर मुफ्त भराव 'ऐप मजेदार है, im आदी",positive
मुझे क्षमा करें।,negative
मलेशिया के रास्ते में ... ट्विट के लिए कोई इंटरनेट एक्सेस नहीं,negative
जस बर्कले से वापस आया;OMG इसके पागल मज़ा वहाँ एक मिनट में वहाँ से बाहर किया गया था।व्हाट्सएप?,positive
सोने के लिए चला गया और नोएडा पावर में एक पावर कटौती वापस भी काम नहीं कर रही है,negative
मैं अब घर जा रहा हूँ।क्या आपने मेरा नया ट्विटर डिज़ाइन देखा है?काफी .... स्वर्गीय isn` ****?,positive
मुझे उम्मीद है कि Unni ऑडिशन देगा।लड़ना दाहे अन्न!,positive
"अगर यह कोई सांत्वना है तो मुझे मेरा बीएमआई का परीक्षण किया गया है, यह कहता है कि मैं मोटा हूं, लगभग 10 मिनट तक दुखी होने के लिए बहुत कुछ होगा।",negative
यह बहुत मजाकिया है।प्यारे बच्चे।,positive
"आह, मैं खेल के माध्यम से सोया था।मैं हालांकि कल देखने के लिए अपनी पूरी कोशिश कर रहा हूं।मुझे उम्मीद है कि हम सेना खेलेंगे।",neutral
"Thats, इसका अंत।डर के लिए आँसू बनाम एरिक प्राइड्ज़, डीजे हीरो http://bit.ly/2hpbg4",neutral
NYC में जन्मे और पले -बढ़े और पिछले 10 वर्षों से टेक्सास में रहते हैं!मुझे अभी भी एनवाई की याद आती है,negative
"यदि आप आश्चर्य करते हैं, तो हम आज वास्तव में व्यस्त हैं और यह नए ब्लॉग और अपडेट के टन जोड़ने के साथ आ रहा है",neutral
मैं बहुत नींद में हूँ !!!`स्कूल का आखिरी दिन आज था .... सूँघने ...।,negative
"शराब के लिए थोड़ा खुश jeje ठीक है यह मेरा खाली समय है तो कौन परवाह करता है, जाजा मैं इस दिन प्यार करता हूँ",positive
"कार खुश नहीं है, बूट में बड़ा बड़ा डेंट!उम्मीद है कि वे इसे लिखने नहीं जा रहे हैं, उंगलियों को पार कर रहे हैं और प्रतीक्षा कर रहे हैं",neutral
Im **** पत्रिका का एक शौकीन चावला प्रशंसक और मैं आपकी पत्रिकाओं से प्यार करता हूं,positive
मई दिवस?!,neutral
"रट ने नैशविले टोनाइट को हिलाया..ओन बात चूसा, कोई एनकोर नहीं!80 `की तरह वे अभी भी एक मजेदार शो है।नाशपाती के पास वह हॉट बैड बॉय लुक है",neutral
मैं प्यार करता हूँ!लेकिन मैं केवल शाम 5 बजे से उपलब्ध हूं।और कहाँ प्रिय?उसके vids.Ã and को बदलने में मदद करना पसंद करेंगे,positive
हेयर सैलून में लड़की ने मुझसे पूछा 'क्या मैं आपकी भौंहों को ट्रिम करूँगा!'मुझे कितना पुराना लग रहा है?,neutral
egh blah और boooooooooooooo मैं dunno काम करने के लिए जाना चाहता हूँ,negative
: मेरे दोस्तों और फेसबुक पर जाना,neutral
"मैं झींगे को छीलना पसंद नहीं करता, मुझे भी खरीदारी करना पसंद नहीं है, पैसे से बाहर निकलना और कार के चारों ओर रेंगना और अधिक की तलाश में",negative
कौन सा मामला?मुझे पिछले हफ्ते एक नया मिला और मैं अपने साथ रोमांचित नहीं हूं।,negative
तब आपको http://twittersucks.com की जांच करनी चाहिए और ट्विटर से नफरत करने वाले अन्य ट्विपल से जुड़ना चाहिए,neutral
"स्कूल में भी ऊब गया, इसका मेरा तीसरा फ्रीलेसॉन (फ्रीस्टुंड)",neutral
हम्म ... हम दोनों मुझे लगता है ...,neutral
यह **** है ... यू ने मुझे उस पिछले कुछ दिनों से अलग कर दिया है,negative
रोमांस शून्य मजाकिया है,positive
मैं शुरुआती रन करता हूं..लेकिन मैं एक सुबह का धावक हूं,neutral
बाह एक सहकर्मी देर से काम में भाग गया और उसका बैग मेरे घुटने में धंस गया,negative
बाद में वापस आ जाएगा।http://plurk.com/p/rp3k7,neutral
जाग।दिलों के फटे इक्का #hunchback,negative
आप किस मज़ा कर रहे हैं?,neutral
"मैंने अपने सभी दोस्तों को खो दिया, मैं अकेला और नींद में हूँ..मैं घर जाना चाहता हूँ",negative
हा - हा हाँ,neutral
मैं आसानी से देता हूं,negative
मम को खराब करने के लिए बेहतर तरीका क्या है कि वह उसे वापस किक करने और एक अच्छा भोजन और उसकी पसंदीदा शराब की एक बोतल पर आराम करने के लिए?हमारी शराब एक लाल थी,positive
Mannnn ..... _ एक iPhone मिला !!!im ईर्ष्या .... http://bit.ly/ngnar,negative
एक फोटोशूट में है।,neutral
वह बहुत बढ़िया है ... क्या आपने पहले उसके साथ काम किया है?वह एक अच्छा दोस्त है।,positive
आज रात एक शो खेल रहा है!BOO यह खेलने से पहले काम पर है और मैं `हूँ,neutral
सर्द,positive
"यदि आप इस तरह के एजेंट को जानते हैं, तो मुझे बताएं",neutral
मैं अभी भी धुएं की गंध #kitchenfire,neutral
एक सेल्टिक-लेकर्स रीमैच बेहतर लगता है कि आप नहीं सोचते हैं?ज़ोर-ज़ोर से हंसना,positive
किसी के पास एक अतिरिक्त कीन टिकट है?मैं आपको एक पेय खरीदने और अपने fb / ब्लॉग / फ़्लिकर के लिए रेड पिक्स लेने का वादा करता हूं।,neutral
"'आप एक की सवारी कर सकते हैं, आप एक को पकड़ सकते हैं, लेकिन इसकी गर्मी नहीं है जो आप पॉप एक खुला है?'",neutral
"वह अच्छी है!अब तक Juz हाँ, मुझे पता है कि मैंने उससे कल पूछा था कि हम Tha अस्पताल में थे यदि वह यू से बात करती थी और उसने कहा कि नहीं",neutral
ठीक है - मैं अभी के लिए यहाँ से बाहर हूँ।बस हाय कहने के लिए और चीजों पर जांच करने के लिए पॉप किया।मैं शायद आज रात को बाद में गुत्ता के पास जाएगा,neutral
"वाह, मैं वास्तव में आज उसके परिवार को याद कर रहा हूं)।बद्दी।",negative
मेरे स्रोत ने मना किया,neutral
मैं बहुत थक गया हूं,negative
"अरे, आप अपना ट्विटर अकाउंट बदलते हैं, और आपने मुझे भी नहीं बताया ...",neutral
धन्यवाद yyyyyyyyyoooooooooououuuuuuu!,positive
लकी किड ... मैं ओज़ में लॉसविले पिटी इम देखना चाहता हूं ...।,positive
मेरी सवारी के इंतजार में सो गया!,neutral
बीमार।एक फ्लू की तरह की तरह।,negative
