text_hindi,sentiment
"हे लुइस, धन्यवाद!मेरे पास फ्लैश है और मेरे प्रोफेसर कोड के लिए धन्यवाद।*खाँसी*",positive
"हाँ, यह अच्छा है!यदि आप इसका उपयोग नहीं करने जा रहे हैं, तो मुझे दे दो!मैं स्टार ट्रेक देखना चाहता हूं",positive
मैं प्रगतिशील विज्ञापनों से महिला से प्यार करता हूँ वह बहुत मजाकिया है,positive
मैं अपनी पत्नी के साथ दोपहर का भोजन नहीं कर रहा था जैसे मैं चाहता था,negative
मुझे नए मोजे चाहिए,neutral
क्या आप लोग ग्रिम फैंडैंगो के बारे में सह-ऑप पर कुछ कर सकते हैं?क्या आप इसे XBLA/PSN पर नहीं देखना चाहते हैं?टोनी प्लाना को बुलाओ!कॉल टिम !!,neutral
गुड मॉर्निंग गुड मॉर्निंग/,positive
गली के लिए जा रहे हैं।,positive
मैंने आज अपनी गणित की परीक्षा में विफल रहा।fxxxmylife,negative
बंधक।मेरी नौकरी खो सकती है,negative
आपको अपने ब्लॉग को CMF विज्ञापनों में जोड़ना चाहिए,neutral
पूरे समय के लिए?,neutral
_tall_blonde ~~ हैलो ~~~ और फॉलो के लिए धन्यवाद।,positive
मैंने चेडर पॉपकॉर्न का आधा बैग खाकर अपना दोपहर का भोजन बर्बाद कर दिया .... अब मैं बीमार महसूस करता हूं।,negative
"**** यह, लोग #comet09 पर `t rean`t मुझे आशा है कि वे जीतते हैं",positive
http://twitpic.com/665w2 - मीलों दूर देखें,neutral
- 05/31 हमारे रूममेट युग के अंत को चिह्नित करता है।और आपने मुझे फिर कभी एम्पानाडस नहीं बनाया।,neutral
"अब Skwl में है, और मैं वास्तव में अध्ययन नहीं करना चाहता .. मैंने उसे देखा -> j *** मैं और मुझे नीचे महसूस करता है ..",negative
अब वह बेकार है ... पी? मैं? है?Ã Ã ½n? मैं चुनाव?जे लेनो के पास एक और नहीं होगा?दिखाएँ या कुछ और?,negative
लगता है मुझे एक नई नौकरी मिली,positive
"मैंने ट्विटर पर नोमस देखा, लेकिन मैं अभी भी जाग नहीं रहा हूं",negative
"LOL मैं मेरा भेजने वाला था, लेकिन मुझे बहुत देर हो चुकी थी ****",negative
मैंने जोनास ब्रदर्स फेसबुक वेबकास्ट को नहीं पकड़ा ... यह पहले ही समाप्त हो गया जब मैंने अपने फेसबुक अकाउंट पर लॉग इन किया ...,neutral
मेरे इंटरनेट कनेक्शन को ठीक करने की कोशिश कर रहा है ... लगता है कि मेरी `प्रार्थना 'का जवाब दिया गया है और मैं किसी भी अध्ययन विचलित होने के लिए नहीं होगा,positive
माताओं के दिन के लिए घर बाउंड,neutral
यह 3 बजे के बाद। !!मुझे लगता है कि यह बिस्तर का समय है। !!एक अच्छी रात का ट्वीट है।;)),positive
"मेरे पास एक बेक्ड डिनर यम्मी कैंट न्यू शॉर्ट स्टैक टीवी के लिए इंतजार था, यह किस तरह के डिप्स होगा?",neutral
मेरा कहना अब http://bctiny.com/po4me,neutral
क्रूज़िंग 'सीरियस ईट्स एनवाई' जीए में भविष्य के लिए अच्छा नहीं है।मिसिंग NYC गैस्ट्रोनॉमिकल टूर .. http://newyork.seriouseats.com/,negative
आगे आपके साथ हो सकता है .....,positive
बास ड्रम सिर टूटने के बराबर बस्ट।15 मई के लिए टिकट की आवश्यकता किसे है?आप?,neutral
मैं इसे पढ़ने के लिए मर रहा हूँ!मुझे इंग्लैंड से नफरत है।,neutral
कोई और गिरफ्तार विकास नहीं।मैं दुःखी हूं।,negative
मैं अपने आप सभी सप्ताहांत में घर नहीं रहना चाहता !!!!!!!!!मुझे क्या करना चाहिए?,neutral
एक ट्विटर उपयोगकर्ता के लिए चंचलता उपयुक्त लगता है,negative
"गेटोरेड सुबह में पहली बात = यमियम को बिखर रहा है, लेकिन कल इसके लिए उठना और संशोधित करना चाहिए।",negative
मैं केवल एक यादृच्छिक मौका देखने के लिए हुआ।समय सब कुछ है।,neutral
यह बहुत दुखद है जब पिताजी हकुना माताना मर जाता है इसका मतलब है कि कोई चिंता नहीं है ...,negative
"मैं tantra में, Kirki से किसी को भी पता होगा कि यह कितना दुखी है, मैं अपने दुखों को डूब रहा हूं;)",neutral
मुझे आप सभी ठीक लड़कियों की याद आती है।सभी y`all को खुश माँ का दिन।,neutral
घर जा रहा है लेकिन वापस आ जाएगा!मुझे किराने का सामान और सामान मिलने के बाद,neutral
"आप सभी माताओं, अपने बहुत-योग्य विशेष दिन का आनंद लेने के लिए तैयार हो जाओ!",positive
"nooooooooooooooooo!अच्छी तरह से 4 जी जून में बाहर हो जाएगा, लेकिन यह अब मदद नहीं करता है",negative
स्नेप टू ग्रिड।मुझे बस एहसास हुआ कि मैंने 5 दिनों में इकबाल को देखा था।,neutral
"आह, अच्छी तरह से मैंने गलती से अपने माउस पर वापस जगह क्लिक की",negative
लगभग 2 और घंटे तो मैं काम से बाहर हूं।समय किसी भी धीमी गति से नहीं जा सकता।,neutral
यह बेवकूफ लग सकता है ... लेकिन मैंने सिर्फ एक मुखौटा खरीदा,negative
मुझे यकीन है कि मेयर ब्रेनर्ड यह सुनकर रोमांचित हो जाएंगे कि आप एक प्रशंसक हैं।,positive
हमें एक सवारी मिली,neutral
मेरी fav सीडी,positive
"आप उससे नफरत करते हैं, मैं उससे प्यार करता हूं।प्रस्तुति रद्द हो गई।मैं 0600 पर उठ गया और इस पिच के लिए आज काम करने गया!",negative
"ये येह।मैं सिंगुलर पर स्विच करूंगा, लेकिन मेरे पास टी-मोबाइल पर अधिक दोस्त हैं।मुफ्त मिनट, यो।",neutral
"लोल बहुत पागल नहीं है कि पूरे दिन बारिश हो रही है, और यह जोड़ने के लिए कि मुझे नहीं लगता कि आप मेरे पीछे हैं।",negative
बस जाग गया और देखा कि सूरज बाहर नहीं है मुझे जल्दी जागना शुरू करने की आवश्यकता है,neutral
यह अच्छा लगता है!और आप भुगतान कर रहे हैं - और भी बेहतर,positive
awww।यह बढ़ीया है।मैंने बहुत ज्यादा आइसक्रीम खाई,positive
हाँ ... यह बहुत बढ़िया है .. और यू उर प्यार मौली हाहा का अनुसरण कर सकते हैं .... अब आप हमारे साथ यहाँ चैट कर सकते हैं!,positive
"खुद को कुरकुरा नहीं खाने का वादा किया, लेकिन मैं भूख से मर रहा हूं और खाने के लिए और कुछ नहीं है",neutral
इसके ठीक दोस्त मैं भी हारे हुए लोगों में रुके थे,negative
छोटी रोती हुई नर्वस गर्ल को एक 12 साल के प्यारे अच्छे डांसिंग बॉय के साथ ... के माध्यम से रखा गया था।ग्रेग द लवली सिंगर 3rd आया,neutral
_Brown नरक का एक पवित्र संस्करण है?LOL ... मैं नहीं रोक सकता।मुझे इसके लिए एक ट्रेंडिंग टॉपिक होने की आवश्यकता है!अच्छा हो (*फुसफुसाते हुए #redmango) lol,neutral
काश मैं भी VA में होता,positive
धन्यवाद  ****,positive
_Carter आपका वीडियो निजी पर सेट है ..,neutral
"पुन: तो, अंत में, अपने ब्लॉग के साथ पकड़ना समाप्त कर दिया - किसी भी शादी के विवरण का कोई उल्लेख नहीं ... कुछ बिंदु पर, बताओ।http://disq.us/11w",neutral
मुझे पूरा यकीन है कि वह हर मुख्य चरित्र है जिसे हमने कभी लिखा है।वह या,neutral
नींद अभी के बारे में अच्छा लगता है,positive
बिस्तर पर जाने के लिए मुझे सात तीस या कल की तरह उठना है।आज वास्तव में एक दिन का बुरा नहीं था।,positive
महान पॉडकास्ट!काश आप लोगों को इस गर्मी में अधिक ची शो होता।केवल एक बार मैं देखूंगा कि आप अल्पाइन में होंगे,positive
मुझे नहीं लगता कि मेरे दोस्त अब मेरे जैसे हैं (#Zenjar के माध्यम से),negative
सिरदर्द http://plurk.com/p/wydaf कहते हैं,negative
मैनी 'पैकमैन' पैकक्वायो को बधाई!आपने हर फिलिपिनो को एक फिलिपिनो होने पर गर्व किया है!,positive
Awww सोवी शॉर्ट,negative
पैरों में चोट लगी ... अंत में बिस्तर में ... इस क्रंच को नहीं भूलूंगा जब यह खत्म हो गया ... हालांकि आज बहुत ही उत्पादक दिन है,negative
LOL कि आपके लिए बहुत अच्छा है।,positive
YouTube isn`t काम नहीं कर रहा है ... और मैं ब्रिटेन को प्रतिभा प्राप्त करना चाहता था।मैं एक दया पार्टी होने के बारे में बहस कर रहा हूं।,negative
बस कल्पना में,neutral
घर जाओ और एक झपकी लेने की कोशिश करो।मैं भावनात्मक रूप से थक गया हूं ... मैं बाद में आऊंगा .. <3,negative
"मैंने उसे भी अवरुद्ध कर दिया, आशा है कि यह बस हमेशा के लिए चला जाता है",neutral
क्या कोई सीवीएस 'गिट स्टेटस' के बराबर है?,neutral
वेल्स के लिए मिशन दुनिया के सबसे बड़े वेल्श केक को खोजने के लिए एक सफलता थी - क्योंकि कोई भी मेरे नान से बेहतर नहीं है,positive
हाँ!मुझे भी ऐसा लगता है।मैं अभी भी बक्से में बहुत कुछ मिला है।हालांकि यह बहुत मजेदार है।कल मेरी नई जगह पर पहुंची।,neutral
तथ्य 1: मैं DirectV की मांग w/एक जुनून पर नफरत करता हूं जो 1000 सूर्य की सफेद गर्म तीव्रता को जलाता है।तथ्य 2: मुझे कॉमकास्ट की याद आती है।बहुत,negative
ई-मेल मार्केटिंग के लिए सभी स्मार्ट बंदरों को काम पर रखा ...,neutral
काम की स्थिति के बारे में कुछ काम करने की कोशिश करने की कोशिश करना,positive
": हाहा मुझे पता है कि यह सुपर आसान भी था।मैं टॉय काउंटर पर बैठा और बच्चों को दिया कि वे क्या खिलौना चाहते थे, वे टिकटों के साथ थे।",neutral
"मीठा _b_10 हाँ, जी-टाउन जूस सेड ब्लू मार्टिनी से मेरा साथी था स्पॉट है, इसलिए बीमार इसे देखें।अच्छा लग रहा है",neutral
___ आपको उसे ईमेल करना होगा - वह केवल वही प्राप्त करती है जो लोग चाहते हैं ताकि वे साइट पर न हों।पतलून के बारे में शर्म की बात है,negative
: मैं असली हूँ,neutral
"एश्टन बहुत अच्छा लग रहा है, और आप हमेशा की तरह शानदार दिखते हैं!आप दोनों अभी भी नवविवाहित चमक हैं, और वह हमेशा के लिए है।सच्चा प्यार",positive
8:30 बजे ... यह सिर्फ मुझे मारा है मेरे पास कल स्कूल है: हाहाहा पर!मैं til 9 पर रहूँगा मुझे लगता है ****,negative
मैं किआ के लिए कैट स्वर्ग में भी जाना चाहता हूं।और मेरे सेस से मिलो,neutral
स्ट्रॉबेरी मार्गरिटस + बेक्ड स्टफ्ड झींगा =,neutral
मेरी मेरी मेरी मम्मी के साथ एक रात में इतनी सारी फिल्में नहीं देखी हैं,neutral
3 डी में नहीं है ..,neutral
धन्यवाद प्रिय!अगली बार हम सब फिर से चले जाएंगे,positive
और आप इसे मेरे ऊपर कैसे बनाने जा रहे हैं,neutral
उम्म ... क्यों यह मुझे अपनी पृष्ठभूमि बदलने नहीं देगा?!Im ट्विटर-चुनौती।,negative
कौस्ट कार्यालयों में बैठे।सूरज चमक रहा है और व्यस्त लोगों से घिरा हुआ है ... इक्का,positive
क्या मुझे मज़ा याद आया?,neutral
ब्लू मून के साथ बीडी बैश शुरू करना - फोटो: http://bkite.com/07k6x,neutral
LOL मैं आपकी माँ से कैसे मिला,neutral
"यह पढ़ने के लिए एक बहुत अच्छा साक्षात्कार था, वास्तव में यह एक्स का आनंद लिया",positive
काम पर फिर मेरे बच्चे के घर पर वापस,neutral
"अब्राम्स के पास अपने quirks है।मैं इस तरह से अपनी पोस्ट को संक्षेप में प्रस्तुत करता हूं: सभ्य फ्लिक, लेकिन 'स्टार ट्रेक' कहानी नहीं।",neutral
यह Phyllis हाइमन अनसंग कहानी बहुत दुखद है,negative
मेरी माँ के लिए खुश माँ का दिन ... वह महिला सबसे अच्छी है मैं यू मा प्यार करता हूँ!,positive
"क्योंकि वे कंपनियां जो बैग सीलर्स बनाती हैं, वे व्यवसाय से बाहर जाएंगी।",neutral
क्या विश्वास नहीं कर सकता कि उन बेवकूफों ने बाजीगर को बाहर कर दिया।,negative
"मेरे कुछ पुराने सहपाठियों के साथ चैटिंग, हेल्लीहा मज़ा लेकिन हमारे पास कुछ बहुत ही अजीब बातचीत है।नमस्ते?BBM LO ERROR YA?",neutral
"डैनी, सोरचा, सोरचा, डेन से मिलते हैं।अब आप एक दूसरे को जानते हैं।:-पी",neutral
