text_hindi,sentiment
"पूरे दिन गोधूलि पढ़ना चाहते हैं, बेवकूफ चेर फंक्शन में काम नहीं करना चाहते हैं",neutral
दो दर्जन गुलाब रातोंरात भेजे गए और आज सुबह वितरित किए।बस पता चला कि प्राप्तकर्ता शहर से बाहर है !!उदास,negative
करूंगा!मेरे मम्मी को बताओ मैंने कहा कि वही n मैं उसे बहुत प्यार करता हूँ!,positive
सुनने में तो अच्छा लगता है!,positive
"चिलिन` है, धुनों को सुनकर",positive
मुझे लगता है कि यह 7.30 से शुरू होता है कि डेविड आर्कुलेटा के साथ मैं बस अपने आप को पूरी तरह से फेंक सकता हूं ****,neutral
अभी स्कूल में im,neutral
मुझे मेरे तले हुए अंडे का नाश्ता #fartingloud से दूर रखें,neutral
चार दिनों के लिए विज्ञान में बैठा है (:,neutral
अब घर और मेरी सूची में कुछ और grice `जोड़ा गया,neutral
अपने अनुयायियों को देखें ... आपकी Tweeps सूची तब पूरी तरह से पॉपुलेटेड होगी,neutral
अच्छी तरह से हैलो ट्विटर,positive
"कल रात कभी नींद नहीं लगी, आज भयानक लग रहा था, काम करने का समय मुझे लगता है कि ...",negative
"ईविल क्रेडिट कार्ड कंपनियां !!भगवान, और बस जब मैं फिर से * अपने क्रेडिट * का निर्माण शुरू कर रहा था - मुझे यह बेवकूफ `डिंग` उनसे मिलता है!",negative
सुबह हर 1!Http://tinyurl.com/dhc4hg मॉड किड एम्मा पैटर्न और $ 25 गिफ्टकर्ट हिपफैब्रिक पर giveaway !!इसे देखें,neutral
झूठ बोलने वाला।यह यहां 60 डिग्री है।मुझे अपना स्वेटर मौली छोड़ने के लिए धन्यवाद।ब्र्र्र्र्रर,positive
कासा मिलान के क्लब हाउस के लिए goin` ...,neutral
"मेरी छोटी बहन के लिए बुरा लग रहा है।उसके साब में बहुत पैसा लगाओ, पिछले हफ्ते इसे पूरा कवरेज लिया, और कल कुल मिला",negative
LOL मुझे पता है कि फिर क्या मतलब है।बाकी सभी को देखना एक मूर्खता को देखना बहुत बेहतर है,positive
_Kate मुझे पता है कि इसके ढेर भयानक हैं।यदि आपका सभी सप्ताहांत काम नहीं कर रहा है,positive
"गर्मियों की छुट्टी के 63 दिन बचे हैं, और वे बहुत धीमी गति से जा रहे हैं!स्कूल यहां कब आएगा ???",negative
आपको भी!,neutral
"ओह, वह प्रफुल्लित करने वाला है।मैं सिर्फ इस तथ्य पर टिप्पणी कर रहा हूं कि वह वहाँ बहुत कुछ है।",positive
"मैं अपने मोबाइल पर हूँ इसलिए यह मुझे नहीं जीता, लेकिन मैं तुम्हारे बारे में सोचना बंद नहीं कर सकता;) x",negative
आशा है कि आपके पास एक अच्छी उड़ान है,positive
"मेरे माता -पिता ने आखिरी क्षण में अनुमति वापस ले ली, मैं कल की थैली यात्रा के साथ IDP शिविरों #pakistan #idprelief के साथ नहीं जा रहा हूं",neutral
इचिबन कान से मेरे पैकेज के साथ यूपीएस ट्रक की प्रतीक्षा करते हुए लगभग पेसिंग है - शायद 18:00 ईएसटी तक नहीं,neutral
eeehhh।मेरी दाहिनी आंखें ट्विचिंग।गो गो गो एंड वॉच बॉयस्टाउन।जन्मदिन की शुभकामनाएँ!,positive
मैं कुछ नियमों को तोड़ता हूं और उनके लिए तनाव नहीं लेता .....,neutral
बहुत दयालु जिम बहुत दयालु भाई,positive
सनबैथिन बनना चाहता है !!,neutral
"मैं अपने वुडी और बज़ खिलौनों को नहीं ढूंढ सकता, लेकिन मुझे मेरी बुल्सई टेडी मिल गई!क्या आपके पास खिलौना कहानी खिलौने हैं?8-)",neutral
थका हुआ!मुझे बिस्तर पर जाना पड़ सकता है।परेशानी यह है कि मुझे अपने सभी अमेरिकी शाम के दोस्तों की याद आती है।एक्स,negative
रेड्स जीत!एक महान दिन के लिए महान अंत,positive
हॉलमार्क पर सबसे बड़ा हारना।मुझे रोने के लिए कभी भी विफल नहीं होता।,negative
वह आज रात शो इम से सेवानिवृत्त हो रहा है।वह कमाल के हा था।और मेरे प्रिय को बधाई,neutral
पेटू पिज्जा = bleh।पिज्जा को चिकना और गंदी माना जाता है।आप पिज्जा खा सकते हैं जो एक शेफ द्वारा तैयार किया गया है।,negative
मैंने एक इतालवी घोड़े की नाल का आकर्षण खरीदा।ड्रैगन!यह बहुत मजबूत लगता है,positive
काम पर वापस,neutral
मेरे पिल्ला के साथ घर वापस,neutral
अभी कोई नहीं है।उन्हें और अधिक बनाने की जरूरत है।क्षमा मांगना।,negative
"बिस्तर पर जाना।मुझे लगता है कि मैं `थोड़ा पढ़ा, शराबी तकिए पर चढ़ा हुआ।",neutral
_newnew yea मैंने देखा कि तेल शो यू को पसंद है मुझे पसंद है,neutral
हिप्नोटिस्ट .... हम्म्म्म ... मुझे सावधान रहना चाहिए ..,negative
http://twitpic.com/67nxe - हाँ..I`m ऊब XD मैं इस तस्वीर को पिक अप करता हूं जब मेरे पास अभी भी मेरा गिटार है..क्या मेरे मम स्टीम मी आई इट आई इट आई मिस नेमलेस ..,negative
कुछ 1 ने कहा कि अगर आपका ऑनलाइन नहीं है तो आपका NO1 नहीं है ... यदि आप अपने ऑनलाइन नहीं हैं।,neutral
सुंदर!मुझे उम्मीद है कि मैं जीत जाऊंगा,positive
"शांत दोस्त!हाँ, मुझे उम्मीद थी कि आपकी दर अभी भी $ 2.75 थी।ज़ोर-ज़ोर से हंसना!हाँ, जब मेरे जन्मदिन के खाने के लिए बीमार और बराबर हो तो निश्चित नहीं है।",neutral
थैंक्स,neutral
मैंने सुना है कि तहखाने Jaxx का नया गीत 'रेनड्रॉप्स' ... वह शानदार है !!!और मुझे नाचता है मैं फ़ूजी रॉक फेस्टिवल इंतजार कर सकता हूं ...,positive
कम से कम आपको रास्ते में खोया हुआ देखने को मिलता है,neutral
इतना थक गया .. फिर भी थोड़े गुस्से में है कि मैं कॉन्सर्ट से चूक गया,negative
... निश्चित रूप से पहली बार मैंने वर्षों में फिर से जीवित महसूस किया।बहुत खुशहाल,positive
हेकिट्टी में मैं कैसे भूल गया?,neutral
एल की प्रतीक्षा कर रहा है और थोड़ा एमजेबी 'बस ठीक' सुन रहा है।मेरा सप्ताह शुरू करने के लिए सही गीत।,positive
हवाई अड्डे पर मेरे माता -पिता को अलविदा कहना।यह उनके आसपास बहुत अच्छा था।,positive
कभी -कभी यह तथ्य कि एक बेहतर शब्द की कमी के लिए मेरा स्वास्थ्य वास्तव में मुझे डराता है,negative
मैं आज के बाद से आज के लिए एक योजना बनाऊंगा,neutral
अब से कहते हैं कि वर्क सिस्टम एडमिनिस्ट्रेटर्स से प्लुर्क करना असंभव होगा।,negative
मेरी बहन के साथ मेरे सप्ताहांत का आनंद ले रहे हैं ****,positive
अंतिम मुक्त शुक्रवार।,negative
मेरे पास एक बैंक नहीं है।मैं टॉम थम्ब में अपने **** को कैश करता हूं।मेरे पास चार बैंक खाते थे-और वे सभी नकारात्मक हो गए,negative
"कल अपनी किटी को पशु चिकित्सक के पास लाते हुए, मुझे लगता है कि उसे एक टैपवर्म मिला है।",neutral
लेकिन हाँ मुझे बैंगनी पसंद है शायद क्यों !!;): पी: डी,positive
विज्ञान में im !!बहुत उबाऊ,negative
अपने पीजे में चाय पी रही है और राजनीति शो देख रही है।प्यारा,positive
हैप्पी फ्रिकिन` जन्मदिन!अपनी प्यारी पत्नी और अन्य सभी माताओं के साथ अपने दिन को साझा करने के बारे में बहुत कड़वा न होने की कोशिश करें।,positive
अंत में वह बाइक मिल गई जो मैं चाहता था!,positive
मुझे वास्तव में सेबस्टियन की याद आती है,negative
बहुत निराश है कि उसे सोना है ...।,negative
अभी भी विश्वास नहीं कर सकते हैं कि छोटे सिविक में सभी टमटम पोस्टर नीचे ले गए हैं!?,negative
दुनिया को सुप्रभात।आशा है कि हर कोई ठीक है,positive
फिल्म वास्तव में बहुत दिलचस्प है।इसे देख रहे हैं।शायद कल स्टार ट्रेक देखकर।<3 zq।ज़ोर-ज़ोर से हंसना,positive
नाई नाई बेबी।haha मैंने नहीं पता था कि आपके पास ट्विटर है लेकिन ओह अच्छी तरह से,neutral
Freakin` निराश क्यों मेरे कोच को एहसास हो सकता है कि समय कठिन है ain`t किसी को भी कोई नई वर्दी के लिए कुकी आटा खरीदने के लिए पैसे नहीं मिले,negative
Snl Gahhhhh को देखना होगा,positive
धन्यवाद और आशा है कि आप एक महान दिन रहे हैं,positive
एक महीने पहले मुझे मौसम की याद दिलाता है यह भयानक था मुझे आशा है कि सब अच्छी तरह से गले लगा रहा है,neutral
काम करने के लिए जा रहा है और इसकी ठंड है!,negative
